,40-year NPV rank,40-year NPV,Institution,State,Level,Predominant degree,Institution type,Share earning more than high school graduates 10-years after enrolling,Earnings-price return rank,Earnings-price return,Earnings-debt return rank,Earnings-debt return,Debt rank,Median debt,10-year earnings rank,Median 10-yr earnings,Net price rank,Net price,Graduation rate rank,Graduation rate,7-year repayment rate
980,2748,"$757,000",Chattahoochee Technical College,GA,2-year,Certificate,Public,50%,20,2604%,NA,NA,NA,NA,3046,"$30,745",4405,"$1,137",3921,22%,NA
981,2956,"$727,000",Clark Atlanta University,GA,4-year,Bachelor's,Private nonprofit,65%,4099,15%,3859,107%,481,"$19,000",1861,"$39,369",145,"$34,263",2676,45%,42%
982,1403,"$948,000",Clayton State University,GA,4-year,Bachelor's,Public,71%,1026,302%,3369,158%,761,"$17,020",1337,"$43,853",3033,"$10,918",3485,30%,51%
983,3401,"$652,000",Coastal Pines Technical College,GA,2-year,Certificate,Public,42%,27,2137%,NA,NA,NA,NA,3498,"$26,711",4402,"$1,194",2405,49%,NA
984,2807,"$747,000",College of Coastal Georgia,GA,4-year,Associate's,Public,51%,2192,145%,1566,285%,2643,"$8,250",2930,"$31,764",2723,"$12,990",3841,24%,49%
985,1899,"$873,000",Columbus State University,GA,4-year,Bachelor's,Public,67%,1377,241%,3553,144%,792,"$16,875",1666,"$41,096",2865,"$12,058",3067,37%,49%
986,2777,"$752,000",Columbus Technical College,GA,2-year,Certificate,Public,51%,253,644%,576,475%,3579,"$5,500",2956,"$31,622",4201,"$4,253",3806,24%,NA
987,1490,"$933,000",Covenant College,GA,4-year,Bachelor's,Private nonprofit,72%,2898,97%,3433,153%,603,"$18,250",1107,"$46,183",871,"$23,413",1189,67%,81%
988,2240,"$830,000",Dalton State College,GA,4-year,Bachelor's,Public,64%,459,481%,687,443%,3062,"$7,001",2033,"$37,999",3841,"$6,543",3832,24%,52%
989,1899,"$873,000",DeVry University-Georgia,GA,4-year,Bachelor's,Private for-profit,69%,3459,60%,1980,247%,1460,"$12,809",1266,"$44,484",402,"$27,808",4042,20%,48%
990,2290,"$823,000",East Georgia State College,GA,4-year,Associate's,Public,59%,1040,300%,367,545%,3579,"$5,500",2426,"$35,461",3398,"$8,874",4266,11%,39%
991,2755,"$756,000",Emmanuel College,GA,4-year,Bachelor's,Private nonprofit,63%,2789,104%,2526,212%,1612,"$12,000",2102,"$37,494",1727,"$18,351",2820,42%,61%
992,127,"$1,535,000",Emory University,GA,4-year,Bachelor's,Private nonprofit,86%,1637,205%,997,367%,988,"$15,500",120,"$72,364",834,"$23,734",113,90%,87%
993,70,"$1,680,000",Emory University-Oxford College,GA,2-year,Associate's,Private nonprofit,86%,1847,179%,997,367%,988,"$15,500",120,"$72,364",580,"$25,921",43,94%,87%
994,3654,"$607,000",Empire Beauty School-Augusta,GA,Less than 2-year,Certificate,Private for-profit,36%,3520,56%,2609,206%,2759,"$7,917",3818,"$24,220",2268,"$15,477",2514,47%,41%
995,3664,"$606,000",Empire Beauty School-Dunwoody,GA,Less than 2-year,Certificate,Private for-profit,36%,3546,54%,2609,206%,2759,"$7,917",3818,"$24,220",2203,"$15,763",2877,41%,41%
996,3483,"$637,000",Empire Beauty School-Gwinnett,GA,Less than 2-year,Certificate,Private for-profit,39%,3208,77%,2094,241%,2852,"$7,667",3583,"$26,171",2375,"$14,827",2746,43%,28%
997,3473,"$638,000",Empire Beauty School-Kennesaw,GA,Less than 2-year,Certificate,Private for-profit,39%,3016,89%,2094,241%,2852,"$7,667",3583,"$26,171",2577,"$13,865",2135,54%,28%
998,3767,"$589,000",Empire Beauty School-Morrow,GA,Less than 2-year,Certificate,Private for-profit,37%,3365,66%,2373,221%,2954,"$7,389",3904,"$23,728",2497,"$14,260",1934,57%,45%
999,3674,"$605,000",Empire Beauty School-Northlake,GA,Less than 2-year,Certificate,Private for-profit,39%,3351,67%,2298,226%,2929,"$7,484",3794,"$24,377",2417,"$14,630",2678,44%,49%
1000,3741,"$592,000",Empire Beauty School-Savannah,GA,Less than 2-year,Certificate,Private for-profit,37%,3413,63%,1582,283%,3411,"$6,222",3872,"$23,859",2408,"$14,672",2666,45%,35%
1001,2842,"$742,000",Fort Valley State University,GA,4-year,Bachelor's,Public,60%,2009,163%,4004,67%,176,"$21,500",2354,"$35,877",2621,"$13,650",3429,31%,33%
1002,2817,"$746,000",Fortis College-Smyrna,GA,2-year,Certificate,Private for-profit,55%,3298,71%,2006,246%,2001,"$9,500",2776,"$32,886",1557,"$19,205",2170,53%,33%
1003,3855,"$573,000",Georgia Career Institute,GA,Less than 2-year,Certificate,Private for-profit,36%,2882,98%,1968,248%,3199,"$6,523",4005,"$22,705",2951,"$11,458",1666,61%,34%
1004,923,"$1,051,000",Georgia College & State University,GA,4-year,Bachelor's,Public,78%,2090,155%,2798,196%,776,"$16,950",795,"$50,169",1470,"$19,691",1485,64%,76%
1005,1123,"$1,000,000",Georgia Gwinnett College,GA,4-year,Bachelor's,Public,73%,1118,283%,722,431%,2514,"$8,851",1044,"$47,025",2829,"$12,292",4073,19%,48%
1006,1571,"$920,000",Georgia Highlands College,GA,4-year,Associate's,Public,63%,386,524%,496,498%,3202,"$6,500",1923,"$38,838",3894,"$6,229",4254,12%,52%
1007,4074,"$524,000",Georgia Institute of Cosmetology,GA,Less than 2-year,Certificate,Private for-profit,31%,3888,33%,3822,115%,2001,"$9,500",4173,"$20,463",2290,"$15,361",528,78%,22%
1008,30,"$1,947,000",Georgia Institute of Technology-Main Campus,GA,4-year,Bachelor's,Public,91%,434,498%,1184,336%,287,"$20,250",43,"$88,196",2392,"$14,739",152,89%,90%
1009,2386,"$810,000",Georgia Military College,GA,4-year,Associate's,Public,56%,1291,255%,393,531%,3579,"$5,500",2519,"$34,727",3234,"$9,792",3646,27%,39%
1010,2879,"$738,000",Georgia Northwestern Technical College,GA,2-year,Certificate,Public,48%,64,1304%,174,642%,3971,"$4,063",3120,"$30,163",4377,"$2,148",2670,45%,NA
1011,2842,"$742,000",Georgia Piedmont Technical College,GA,2-year,Certificate,Public,50%,517,450%,2273,229%,2001,"$9,500",2983,"$31,240",3989,"$5,682",2356,50%,NA
1012,1065,"$1,014,000",Georgia Southern University,GA,4-year,Bachelor's,Public,76%,1611,208%,2895,190%,834,"$16,500",972,"$47,913",2249,"$15,536",2355,50%,63%
1013,1666,"$907,000",Georgia Southwestern State University,GA,4-year,Bachelor's,Public,70%,1154,277%,1893,255%,1736,"$11,863",1550,"$42,086",2996,"$11,157",3294,34%,59%
1014,1650,"$909,000",Georgia State University,GA,4-year,Bachelor's,Public,67%,1602,209%,1845,259%,1612,"$12,000",1437,"$43,099",2562,"$13,953",2105,54%,56%
1015,1105,"$1,006,000",Georgia State University-Perimeter College,GA,2-year,Associate's,Public,67%,750,369%,1845,259%,1612,"$12,000",1437,"$43,099",3338,"$9,184",4158,16%,56%
1016,2254,"$828,000",Gordon State College,GA,4-year,Associate's,Public,58%,1276,258%,1214,332%,2643,"$8,250",2401,"$35,611",3209,"$9,935",4222,14%,40%
1017,2419,"$805,000",Gupton Jones College of Funeral Service,GA,2-year,Associate's,Private nonprofit,54%,2686,111%,1790,265%,2001,"$9,500",2528,"$34,655",2066,"$16,398",78,92%,39%
1018,3420,"$649,000",Gwinnett College-Lilburn,GA,2-year,Certificate,Private for-profit,45%,3973,27%,2539,212%,2001,"$9,500",3164,"$29,617",876,"$23,374",2941,40%,33%
1019,4254,"$463,000",Gwinnett College-Marietta Campus,GA,2-year,Certificate,Private for-profit,28%,4282,-2%,3645,134%,2430,"$9,145",4101,"$21,407",1099,"$21,913",1661,61%,15%
1020,3896,"$565,000",Gwinnett College-Sandy Springs,GA,2-year,Certificate,Private for-profit,37%,3393,64%,2414,219%,2873,"$7,612",3817,"$24,288",2381,"$14,802",905,71%,35%
1021,1850,"$882,000",Gwinnett Technical College,GA,2-year,Certificate,Public,62%,1411,236%,716,432%,3059,"$7,014",2119,"$37,336",3003,"$11,110",3312,33%,47%
1022,3508,"$633,000",Herzing University-Atlanta,GA,4-year,Bachelor's,Private nonprofit,53%,3936,30%,3058,179%,1737,"$11,855",2731,"$33,093",625,"$25,542",3532,29%,42%
1023,3855,"$573,000",Interactive College of Technology-Chamblee,GA,2-year,Certificate,Private for-profit,39%,3269,73%,2976,185%,2523,"$8,757",3723,"$24,939",2454,"$14,413",3402,32%,35%
1024,3830,"$577,000",Interactive College of Technology-Gainesville,GA,2-year,Certificate,Private for-profit,39%,3004,90%,2976,185%,2523,"$8,757",3723,"$24,939",2701,"$13,121",3444,31%,35%
1025,3822,"$578,000",Interactive College of Technology-Morrow,GA,2-year,Certificate,Private for-profit,39%,2943,94%,2976,185%,2523,"$8,757",3723,"$24,939",2749,"$12,857",3918,22%,35%
1026,3628,"$611,000",International School of Skin Nailcare & Massage Therapy,GA,Less than 2-year,Certificate,Private for-profit,40%,4239,3%,1224,330%,3529,"$5,794",3729,"$24,903",777,"$24,138",1967,57%,50%
1027,774,"$1,095,000",Kennesaw State University,GA,4-year,Bachelor's,Public,78%,1667,201%,2246,231%,977,"$15,631",703,"$51,792",1913,"$17,221",2669,45%,66%
1028,1462,"$939,000",LaGrange College,GA,4-year,Bachelor's,Private nonprofit,76%,2581,118%,3192,173%,824,"$16,661",1187,"$45,428",1269,"$20,805",2762,43%,66%
1029,2737,"$758,000",Lanier Technical College,GA,2-year,Certificate,Public,49%,41,1635%,NA,NA,NA,NA,3052,"$30,682",4389,"$1,768",3021,38%,NA
1030,1703,"$901,000",Life University,GA,4-year,Bachelor's,Private nonprofit,67%,3595,51%,878,391%,2001,"$9,500",1073,"$46,619",257,"$30,857",3497,30%,48%
1031,3170,"$692,000",Lincoln College of Technology-Marietta,GA,2-year,Certificate,Private for-profit,49%,3083,84%,2387,220%,2001,"$9,500",3080,"$30,434",2032,"$16,507",1318,66%,30%
1032,774,"$1,095,000",Mercer University,GA,4-year,Bachelor's,Private nonprofit,80%,2180,146%,3145,176%,469,"$19,149",632,"$52,841",1173,"$21,464",1316,66%,64%
1033,2571,"$782,000",Middle Georgia State University,GA,4-year,Bachelor's,Public,60%,1261,260%,1581,283%,2001,"$9,500",2273,"$36,432",3174,"$10,116",4014,20%,41%
1034,1121,"$1,001,000",Morehouse College,GA,4-year,Bachelor's,Private nonprofit,74%,3393,64%,3093,178%,569,"$18,500",723,"$51,483",233,"$31,327",2128,54%,43%
1035,3315,"$665,000",North Georgia Technical College,GA,2-year,Certificate,Public,40%,99,1049%,876,391%,3579,"$5,500",3462,"$27,017",4369,"$2,351",3410,31%,NA
1036,3429,"$647,000",Oconee Fall Line Technical College,GA,2-year,Certificate,Public,43%,825,349%,173,642%,4009,"$3,666",3445,"$27,218",3926,"$6,067",2696,44%,NA
1037,3228,"$682,000",Ogeechee Technical College,GA,2-year,Certificate,Public,43%,4,7002%,1592,283%,3006,"$7,250",3390,"$27,768",4416,$391,2414,49%,NA
1038,647,"$1,132,000",Oglethorpe University,GA,4-year,Bachelor's,Private nonprofit,79%,2126,151%,1863,258%,988,"$15,500",490,"$55,444",1067,"$22,126",2295,51%,70%
1039,3712,"$599,000",Omnitech Institute,GA,Less than 2-year,Certificate,Private for-profit,38%,4259,1%,1976,248%,2889,"$7,574",3562,"$26,333",577,"$25,985",1345,65%,17%
1040,3389,"$655,000",Paine College,GA,4-year,Bachelor's,Private nonprofit,51%,2218,143%,2920,189%,1844,"$10,980",2935,"$31,714",2708,"$13,072",4086,19%,27%
1041,4179,"$491,000",Paul Mitchell the School-Esani,GA,Less than 2-year,Certificate,Private for-profit,19%,4036,21%,3944,89%,2001,"$9,500",4314,"$17,962",2359,"$14,899",753,74%,32%
1042,1362,"$956,000",Piedmont University,GA,4-year,Bachelor's,Private nonprofit,76%,2218,143%,3515,146%,543,"$18,750",1115,"$46,095",1615,"$18,950",2511,47%,64%
1043,3560,"$624,000",Platt College-Miller-Motte Technical-Augusta,GA,2-year,Certificate,Private for-profit,44%,3936,30%,2767,197%,2001,"$9,500",3309,"$28,204",1145,"$21,661",3506,30%,30%
1044,3552,"$625,000",Platt College-Miller-Motte Technical-Columbus,GA,2-year,Certificate,Private for-profit,44%,3909,32%,2767,197%,2001,"$9,500",3309,"$28,204",1201,"$21,300",3413,31%,30%
1045,3552,"$625,000",Platt College-Miller-Motte Technical-Macon,GA,2-year,Certificate,Private for-profit,44%,3888,33%,2767,197%,2001,"$9,500",3309,"$28,204",1227,"$21,137",3875,23%,40%
1046,2495,"$795,000",Point University,GA,4-year,Bachelor's,Private nonprofit,65%,2287,138%,2154,238%,1785,"$11,423",1967,"$38,553",2110,"$16,187",3487,30%,57%
1047,4253,"$464,000",Pro Way Hair School,GA,Less than 2-year,Certificate,Private for-profit,29%,3668,47%,3918,96%,2001,"$9,500",4275,"$18,650",2771,"$12,692",1852,58%,25%
1048,2204,"$835,000",Reinhardt University,GA,4-year,Bachelor's,Private nonprofit,68%,3071,85%,2412,220%,1455,"$12,908",1646,"$41,251",1022,"$22,314",3305,33%,61%
1049,4264,"$457,000",Rivertown School of Beauty Barber Skin Care and Nails,GA,Less than 2-year,Certificate,Private for-profit,27%,3959,28%,3267,165%,3191,"$6,550",4328,"$17,386",2636,"$13,537",1695,60%,26%
1050,2087,"$850,000",SAE Institute of Technology-Atlanta,GA,2-year,Associate's,Private for-profit,58%,3383,65%,1435,301%,2001,"$9,500",2026,"$38,056",906,"$23,091",2658,45%,NA
1051,2508,"$793,000",Savannah College of Art and Design,GA,4-year,Bachelor's,Private nonprofit,66%,4259,1%,3029,181%,975,"$15,657",1317,"$44,071",21,"$43,641",1053,69%,64%
1052,2536,"$789,000",Savannah State University,GA,4-year,Bachelor's,Public,59%,1250,262%,3856,108%,635,"$17,800",2163,"$37,021",3155,"$10,220",3570,29%,32%
1053,3123,"$701,000",Savannah Technical College,GA,2-year,Certificate,Public,47%,236,677%,204,627%,3990,"$3,999",3236,"$29,064",4245,"$3,742",2853,41%,NA
1054,1960,"$867,000",Shorter University,GA,4-year,Bachelor's,Private nonprofit,71%,2609,116%,2816,195%,1226,"$14,250",1549,"$42,097",1497,"$19,495",2872,41%,54%
1055,2737,"$758,000",South Georgia State College,GA,4-year,Associate's,Public,53%,1469,228%,512,493%,3579,"$5,500",2819,"$32,605",3210,"$9,926",4238,13%,43%
1056,2858,"$740,000",South University-Savannah,GA,4-year,Bachelor's,Private for-profit,58%,2609,116%,3200,172%,1364,"$13,516",2201,"$36,710",1955,"$16,989",4154,17%,34%
1057,2988,"$720,000",South University-Savannah Online,GA,4-year,Bachelor's,Private for-profit,58%,3269,73%,3200,172%,1364,"$13,516",2201,"$36,710",1220,"$21,178",4300,4%,34%
1058,3496,"$635,000",Southeastern Technical College,GA,2-year,Certificate,Public,36%,122,923%,751,423%,3846,"$5,000",3595,"$26,148",4351,"$2,556",3323,33%,NA
1059,2988,"$720,000",Southern Crescent Technical College,GA,2-year,Certificate,Public,47%,559,432%,862,394%,3462,"$6,000",3162,"$29,640",4002,"$5,568",2867,41%,NA
1060,1263,"$974,000",Spelman College,GA,4-year,Bachelor's,Private nonprofit,76%,4053,19%,3717,128%,118,"$22,921",672,"$52,227",19,"$43,843",703,75%,61%
1061,1992,"$862,000",Strayer University-Georgia,GA,4-year,Bachelor's,Private for-profit,68%,3016,89%,2055,244%,1487,"$12,667",1375,"$43,590",914,"$23,034",4084,19%,37%
1062,3360,"$660,000",The Art Institute of Atlanta,GA,4-year,Bachelor's,Private for-profit,55%,3652,48%,3861,107%,834,"$16,500",2606,"$34,110",912,"$23,051",4000,21%,38%
1063,24,"$2,022,000",The Creative Circus,GA,2-year,Certificate,Private for-profit,84%,2126,151%,1727,271%,78,"$23,667",45,"$87,731",125,"$34,905",2699,44%,74%
1064,2240,"$830,000",Thomas University,GA,4-year,Bachelor's,Private nonprofit,72%,3188,78%,2998,183%,1187,"$14,500",1676,"$41,034",903,"$23,105",3452,31%,51%
1065,3013,"$716,000",Toccoa Falls College,GA,4-year,Bachelor's,Private nonprofit,60%,3443,61%,2271,229%,1812,"$11,000",2308,"$36,199",1007,"$22,433",2212,53%,74%
1066,2879,"$738,000",Toni & Guy Hairdressing Academy-Atlanta,GA,Less than 2-year,Certificate,Private for-profit,42%,3058,86%,2638,205%,2367,"$9,450",3249,"$28,777",2258,"$15,504",970,71%,NA
1067,2929,"$731,000",Truett McConnell University,GA,4-year,Bachelor's,Private nonprofit,59%,2898,97%,2826,195%,1612,"$12,000",2432,"$35,357",1789,"$17,961",2856,41%,58%
1068,3135,"$699,000",United Education Institute-Morrow,GA,Less than 2-year,Certificate,Private for-profit,44%,4341,-10%,2800,196%,2001,"$9,500",3339,"$28,096",237,"$31,283",1792,59%,27%
1069,316,"$1,293,000",University of Georgia,GA,4-year,Bachelor's,Public,83%,862,338%,1774,266%,867,"$16,347",323,"$59,769",2624,"$13,649",199,86%,77%
1070,1490,"$933,000",University of North Georgia,GA,4-year,Bachelor's,Public,71%,963,314%,1076,353%,2001,"$9,500",1442,"$43,064",3121,"$10,396",3142,36%,78%
1071,1434,"$943,000",University of West Georgia,GA,4-year,Bachelor's,Public,72%,1847,179%,2358,222%,1278,"$14,000",1228,"$45,011",2120,"$16,124",2714,44%,57%
1072,1599,"$916,000",Valdosta State University,GA,4-year,Bachelor's,Public,72%,1602,209%,3223,170%,894,"$16,000",1426,"$43,218",2559,"$13,969",2881,41%,57%
1073,2429,"$804,000",Wesleyan College,GA,4-year,Bachelor's,Private nonprofit,63%,1417,235%,3426,154%,1066,"$15,000",2024,"$38,065",2966,"$11,358",2326,51%,56%
1074,2807,"$747,000",West Georgia Technical College,GA,2-year,Certificate,Public,50%,38,1738%,634,456%,3579,"$5,500",3059,"$30,595",4393,"$1,665",3385,32%,NA
1075,2204,"$835,000",Young Harris College,GA,4-year,Bachelor's,Private nonprofit,66%,2410,130%,2151,238%,1612,"$12,000",1720,"$40,544",1853,"$17,591",2864,41%,72%
1076,3803,"$583,000",Guam Community College,GU,2-year,Associate's,Public,36%,891,332%,NA,NA,NA,NA,3846,"$24,038",4003,"$5,562",4018,20%,NA
1077,4302,"$441,000",Pacific Islands University,GU,4-year,Bachelor's,Private nonprofit,NA,1160,276%,NA,NA,NA,NA,4175,"$20,443",4027,"$5,434",3355,33%,NA
1078,2946,"$729,000",University of Guam,GU,4-year,Bachelor's,Public,55%,1104,286%,3193,173%,1521,"$12,500",2610,"$34,066",3402,"$8,825",3172,36%,60%
1079,961,"$1,039,000",Brigham Young University-Hawaii,HI,4-year,Bachelor's,Private nonprofit,69%,1323,250%,61,795%,3579,"$5,500",872,"$49,232",2540,"$14,051",1418,64%,77%
1080,1697,"$902,000",Chaminade University of Honolulu,HI,4-year,Bachelor's,Private nonprofit,73%,3188,78%,3636,135%,481,"$19,000",1254,"$44,647",680,"$25,075",1786,59%,65%
1081,2946,"$729,000",Hawaii Community College,HI,2-year,Associate's,Public,50%,1909,172%,690,442%,3547,"$5,729",3010,"$31,054",2958,"$11,430",3666,27%,48%
1082,3963,"$550,000",Hawaii Institute of Hair Design,HI,Less than 2-year,Certificate,Private for-profit,34%,4190,8%,1262,324%,3798,"$5,317",4020,"$22,556",1256,"$20,890",925,71%,63%
1083,615,"$1,142,000",Hawaii Pacific University,HI,4-year,Bachelor's,Private nonprofit,80%,2776,105%,979,371%,1612,"$12,000",447,"$56,483",420,"$27,508",2598,46%,73%
1084,1319,"$964,000",Honolulu Community College,HI,2-year,Associate's,Public,66%,678,393%,321,566%,3444,"$6,100",1718,"$40,612",3519,"$8,238",4005,21%,64%
1085,891,"$1,060,000",Kapiolani Community College,HI,2-year,Associate's,Public,72%,295,598%,251,600%,3271,"$6,354",1281,"$44,467",3869,"$6,368",3923,22%,64%
1086,1666,"$907,000",Kauai Community College,HI,2-year,Certificate,Public,61%,1026,302%,666,448%,3063,"$7,000",1986,"$38,375",3283,"$9,544",3700,26%,62%
1087,1632,"$912,000",Leeward Community College,HI,2-year,Associate's,Public,65%,630,406%,245,604%,3579,"$5,500",1940,"$38,747",3643,"$7,657",4016,20%,56%
1088,961,"$1,039,000",University of Hawaii-West Oahu,HI,4-year,Bachelor's,Public,74%,1250,262%,1297,320%,1774,"$11,500",940,"$48,268",2662,"$13,331",3532,29%,67%
1089,1517,"$930,000",University of Hawaii at Hilo,HI,4-year,Bachelor's,Public,69%,1549,216%,2158,237%,1418,"$13,000",1341,"$43,823",2575,"$13,885",2772,43%,68%
1090,655,"$1,128,000",University of Hawaii at Manoa,HI,4-year,Bachelor's,Public,78%,1313,252%,1516,292%,1373,"$13,500",629,"$52,862",2342,"$15,030",1754,60%,80%
1091,1656,"$908,000",University of Hawaii Maui College,HI,4-year,Associate's,Public,62%,1040,300%,1341,313%,2001,"$9,500",1886,"$39,250",3230,"$9,816",4130,18%,47%
1092,2178,"$838,000",Windward Community College,HI,2-year,Associate's,Public,59%,1245,263%,717,432%,3166,"$6,675",2416,"$35,517",3238,"$9,785",3717,26%,49%
1093,4394,"$387,000",American Hair Academy,IA,2-year,Certificate,Private for-profit,NA,3188,78%,4050,29%,1513,"$12,595",4371,"$16,237",3352,"$9,127",1418,64%,49%
1094,1164,"$992,000",Briar Cliff University,IA,4-year,Bachelor's,Private nonprofit,77%,2358,133%,2571,209%,988,"$15,500",970,"$47,922",1318,"$20,604",2775,43%,77%
1095,1485,"$935,000",Buena Vista University,IA,4-year,Bachelor's,Private nonprofit,75%,2090,155%,3478,149%,630,"$17,945",1249,"$44,699",1865,"$17,544",1895,58%,77%
1096,3594,"$615,000",Capri College-Cedar Rapids,IA,2-year,Certificate,Private for-profit,40%,2314,136%,1806,263%,3019,"$7,174",3619,"$26,057",3014,"$11,024",1478,64%,58%
1097,3973,"$548,000",Capri College-Davenport,IA,2-year,Certificate,Private for-profit,32%,2857,100%,2249,231%,3009,"$7,214",3869,"$23,889",2888,"$11,933",1142,68%,50%
1098,3900,"$564,000",Capri College-Dubuque,IA,2-year,Certificate,Private for-profit,35%,2673,112%,1708,272%,3253,"$6,449",3861,"$23,964",2978,"$11,300",1056,69%,59%
1099,1045,"$1,018,000",Central College,IA,4-year,Bachelor's,Private nonprofit,84%,2637,114%,3828,114%,85,"$23,250",834,"$49,741",888,"$23,269",1064,69%,86%
1100,1561,"$922,000",Clarke University,IA,4-year,Bachelor's,Private nonprofit,79%,3821,38%,3623,136%,299,"$20,000",1020,"$47,254",147,"$34,204",1505,63%,81%
1101,738,"$1,104,000",Coe College,IA,4-year,Bachelor's,Private nonprofit,82%,1991,165%,3631,135%,135,"$22,500",620,"$52,967",1429,"$19,955",1313,66%,88%
1102,1189,"$987,000",Cornell College,IA,4-year,Bachelor's,Private nonprofit,77%,3083,84%,3784,120%,135,"$22,500",851,"$49,543",471,"$26,901",840,73%,86%
1103,1632,"$912,000",Des Moines Area Community College,IA,2-year,Associate's,Public,64%,1097,288%,481,501%,3202,"$6,500",1894,"$39,097",3183,"$10,076",3456,31%,51%
1104,1257,"$975,000",Dordt University,IA,4-year,Bachelor's,Private nonprofit,74%,2971,92%,3316,161%,596,"$18,424",951,"$48,164",675,"$25,102",751,74%,93%
1105,295,"$1,311,000",Drake University,IA,4-year,Bachelor's,Private nonprofit,86%,2609,116%,2207,234%,481,"$19,000",258,"$63,528",305,"$29,432",441,80%,88%
1106,4224,"$477,000",E Q School of Hair Design,IA,2-year,Certificate,Private for-profit,28%,3393,64%,3506,147%,2614,"$8,373",4158,"$20,670",2787,"$12,613",2232,52%,38%
1107,2429,"$804,000",Eastern Iowa Community College District,IA,2-year,Associate's,Public,56%,1511,222%,995,367%,2980,"$7,335",2581,"$34,259",3079,"$10,650",3127,36%,52%
1108,2073,"$853,000",Ellsworth Community College,IA,2-year,Associate's,Public,61%,1484,226%,325,565%,3579,"$5,500",2256,"$36,549",2990,"$11,198",3364,32%,56%
1109,2663,"$766,000",Emmaus Bible College,IA,4-year,Bachelor's,Private nonprofit,59%,1909,172%,1761,267%,1924,"$10,000",2218,"$36,673",2643,"$13,473",897,72%,83%
1110,2419,"$805,000",Faith Baptist Bible College and Theological Seminary,IA,4-year,Bachelor's,Private nonprofit,67%,1969,167%,788,414%,2905,"$7,500",1964,"$38,558",2453,"$14,419",2521,47%,85%
1111,3855,"$573,000",Faust Institute of Cosmetology-Spirit Lake,IA,2-year,Certificate,Private for-profit,NA,678,393%,3565,142%,1924,"$10,000",3833,"$24,212",4119,"$4,913",NA,NA,46%
1112,3855,"$573,000",Faust Institute of Cosmetology-Storm Lake,IA,2-year,Certificate,Private for-profit,NA,721,379%,3565,142%,1924,"$10,000",3833,"$24,212",4089,"$5,056",989,70%,46%
1113,1930,"$870,000",Graceland University-Lamoni,IA,4-year,Bachelor's,Private nonprofit,69%,2314,136%,3019,182%,1150,"$14,750",1617,"$41,637",1836,"$17,650",2471,48%,73%
1114,999,"$1,031,000",Grand View University,IA,4-year,Bachelor's,Private nonprofit,80%,2147,149%,2714,199%,833,"$16,532",861,"$49,451",1450,"$19,826",2217,53%,76%
1115,418,"$1,225,000",Grinnell College,IA,4-year,Bachelor's,Private nonprofit,83%,1991,165%,1629,279%,974,"$15,692",331,"$59,488",1000,"$22,486",207,86%,94%
1116,3496,"$635,000",Hamilton Technical College,IA,4-year,Certificate,Private for-profit,51%,3429,62%,2206,234%,2001,"$9,500",2929,"$31,767",1476,"$19,640",468,79%,46%
1117,1446,"$941,000",Hawkeye Community College,IA,2-year,Associate's,Public,68%,1323,250%,1030,360%,2527,"$8,750",1750,"$40,255",2943,"$11,495",3454,31%,57%
1118,1820,"$885,000",Indian Hills Community College,IA,2-year,Associate's,Public,61%,593,418%,796,412%,2988,"$7,308",2114,"$37,400",3720,"$7,217",3173,36%,49%
1119,1397,"$949,000",Iowa Central Community College,IA,2-year,Associate's,Public,68%,1013,304%,803,411%,2728,"$8,000",1692,"$40,846",3177,"$10,102",3282,34%,56%
1120,1666,"$907,000",Iowa Lakes Community College,IA,2-year,Associate's,Public,62%,1236,264%,597,469%,3159,"$6,723",2000,"$38,262",3104,"$10,509",2182,53%,64%
1121,3567,"$622,000",Iowa School of Beauty-Des Moines,IA,2-year,Certificate,Private for-profit,40%,2686,111%,1138,342%,3292,"$6,333",3367,"$27,969",2680,"$13,237",1385,65%,35%
1122,4284,"$448,000",Iowa School of Beauty-Ottumwa,IA,2-year,Certificate,Private for-profit,NA,2686,111%,3903,99%,1945,"$9,849",4221,"$19,586",3321,"$9,278",480,79%,41%
1123,4409,"$342,000",Iowa School of Beauty-Sioux City,IA,2-year,Certificate,Private for-profit,NA,4164,10%,4025,52%,2001,"$9,500",4410,"$14,429",2698,"$13,129",834,73%,48%
1124,407,"$1,230,000",Iowa State University,IA,4-year,Bachelor's,Public,84%,1203,270%,2624,206%,543,"$18,750",398,"$57,351",2261,"$15,496",744,74%,83%
1125,1749,"$895,000",Iowa Wesleyan University,IA,4-year,Bachelor's,Private nonprofit,73%,3298,71%,1326,314%,1846,"$10,875",1221,"$45,066",538,"$26,312",3686,27%,63%
1126,1677,"$905,000",Iowa Western Community College,IA,2-year,Associate's,Public,65%,1391,239%,834,401%,2829,"$7,750",1919,"$38,863",2948,"$11,477",3741,26%,59%
1127,1611,"$915,000",Kirkwood Community College,IA,2-year,Associate's,Public,65%,1272,259%,750,423%,2905,"$7,500",1885,"$39,262",3028,"$10,939",3470,31%,56%
1128,4020,"$538,000",La James College of Hairstyling and Cosmetology,IA,2-year,Certificate,Private for-profit,30%,1920,171%,1330,314%,3579,"$5,500",4000,"$22,762",3489,"$8,394",359,82%,55%
1129,3404,"$651,000",La James International College-Cedar Falls,IA,2-year,Certificate,Private for-profit,47%,3030,88%,NA,NA,NA,NA,3275,"$28,512",2317,"$15,202",1718,60%,54%
